width	width	width	width
10	0.627053	0.542511	0.619102	0.599877
20	0.494542	0.428325	0.519588	0.491997
30	0.42376	0.362443	0.457321	0.429737
40	0.374268	0.322221	0.413089	0.385149
50	0.342538	0.294159	0.379947	0.354427
60	0.318407	0.270594	0.355633	0.327335
70	0.295151	0.253812	0.333748	0.307704
80	0.277845	0.238181	0.317153	0.290776
90	0.264308	0.226514	0.303223	0.276541
100	0.249616	0.214671	0.289308	0.263172
110	0.241681	0.205808	0.2795	0.252163
120	0.232589	0.197728	0.268991	0.243254
130	0.223896	0.190335	0.259817	0.234519
140	0.217952	0.183668	0.251873	0.226623
150	0.210083	0.17813	0.243111	0.219476
160	0.203919	0.172592	0.238502	0.213501
170	0.199076	0.16851	0.230552	0.208005
180	0.192385	0.162449	0.225919	0.2022
190	0.188525	0.159312	0.219533	0.197906
200	0.183035	0.154688	0.215949	0.192827
210	0.179704	0.151771	0.210705	0.188171
220	0.176351	0.148791	0.208156	0.184551
230	0.172916	0.145417	0.203323	0.180338
240	0.168478	0.1423	0.198672	0.177063
250	0.165654	0.139975	0.19486	0.174076
260	0.163516	0.136809	0.191855	0.170621
270	0.160111	0.13484	0.188058	0.167662
280	0.15716	0.132314	0.185761	0.164608
290	0.154954	0.129615	0.184034	0.161836
300	0.152573	0.128618	0.17891	0.159916
310	0.149877	0.125798	0.177129	0.156851
320	0.148017	0.124274	0.174203	0.155094
330	0.145479	0.122375	0.171819	0.152893
340	0.143644	0.120914	0.170857	0.15078
350	0.141728	0.118543	0.167878	0.148354
360	0.139464	0.11742	0.165568	0.146463
370	0.137592	0.116094	0.163384	0.144576
380	0.13594	0.114312	0.162642	0.142834
390	0.135405	0.112771	0.160203	0.140592
400	0.133705	0.111511	0.15845	0.139403
