width	width	width	width
10	0.54057	0.48816	0.568269	0.557756
20	0.423863	0.403859	0.492946	0.488077
30	0.35857	0.348664	0.443894	0.441534
40	0.319515	0.315973	0.407483	0.403809
50	0.289153	0.287616	0.378341	0.374421
60	0.266251	0.265956	0.355869	0.354035
70	0.249562	0.250645	0.333856	0.331106
80	0.233763	0.236276	0.321291	0.31921
90	0.223707	0.22456	0.304969	0.304534
100	0.210855	0.213599	0.292996	0.290338
110	0.202649	0.205024	0.284833	0.280649
120	0.194584	0.196915	0.272713	0.270941
130	0.187569	0.189782	0.264762	0.262881
140	0.180107	0.183481	0.258736	0.255412
150	0.17491	0.177573	0.250653	0.248635
160	0.16912	0.172048	0.243887	0.241364
170	0.165235	0.168003	0.23701	0.235384
180	0.159855	0.162794	0.232761	0.229592
190	0.156372	0.159339	0.22662	0.225011
200	0.152252	0.155	0.221229	0.219096
210	0.148782	0.151782	0.219151	0.215374
220	0.145915	0.148906	0.213411	0.211566
230	0.142207	0.145032	0.209355	0.206565
240	0.139461	0.142336	0.206225	0.202922
250	0.136936	0.139748	0.203257	0.199619
260	0.134538	0.137023	0.200098	0.195687
270	0.132371	0.134955	0.195535	0.192672
280	0.129955	0.132271	0.193046	0.189769
290	0.127041	0.129894	0.190671	0.186794
300	0.12595	0.128671	0.185813	0.183353
310	0.123438	0.126095	0.18485	0.181148
320	0.121995	0.124602	0.182113	0.178481
330	0.120138	0.122644	0.179798	0.176054
340	0.118469	0.120886	0.177047	0.174144
350	0.116354	0.11884	0.174941	0.17161
360	0.115162	0.117722	0.171768	0.169079
370	0.113582	0.116109	0.170633	0.166906
380	0.111898	0.114614	0.168749	0.165384
390	0.110397	0.112972	0.167413	0.163387
400	0.10917	0.111475	0.165797	0.161578
